Zip Code,Latitude,Longitude,POSITIVES,PERCENT_POSI,DEGREES,ENROLLS,ELDER,WHITES,BLACKS,ASIANS,MINORITIES,MED_INCOMES,MEAN_INCOMES,POVERTY,UNEMPLOYMENT
11422,40.6693145,-73.8452872,894,44.32,27.4,37.7,16.8,5.5,85.2,2.1,87.3,89235.0,99628.0,7.3,5.4
11423,40.7102653,-73.7723567,982,46.04,29.0,37.2,19.8,13.0,38.8,28.5,67.3,70266.0,90438.0,9.1,8.0
11426,40.7340545,-73.7214384,471,43.73,37.8,32.2,19.7,38.9,6.6,44.2,50.8,88803.0,107612.0,7.5,4.4
11427,40.7281808,-73.7486667,711,45.37,32.2,35.7,19.9,29.3,20.7,31.3,52.0,74581.0,100414.0,8.5,5.2
11428,40.7213033,-73.7425167,622,48.52,18.9,35.8,18.3,22.7,21.0,25.8,46.8,73699.0,85921.0,8.4,5.7
11429,40.7090142,-73.7395376,863,50.23,26.2,35.1,17.8,3.5,76.2,4.1,80.3,83240.0,96463.0,8.8,13.4
11432,40.7116257,-73.7871005,1604,47.11,36.1,43.5,17.8,19.1,16.0,41.6,57.6,55906.0,79095.0,14.9,7.4
11433,40.697783,-73.7986351,847,44.44,16.2,25.7,15.2,3.9,64.3,8.8,73.1,51521.0,69657.0,17.1,13.8
11434,40.6581282,-73.7698936,1860,43.47,21.8,30.0,18.2,2.9,87.5,2.5,90.0,62207.0,76313.0,11.2,6.8
11435,40.6995768,-73.8084007,1468,43.72,27.7,30.1,14.9,16.9,23.6,24.3,47.9,64086.0,79861.0,15.8,10.7
11436,40.6766297,-73.796211,479,43.39,20.3,26.7,13.3,5.6,61.7,10.5,72.2,75242.0,93965.0,11.1,9.2
11691,40.6080861,-73.752489,2031,49.13,25.8,22.8,15.3,38.9,46.8,3.5,50.3,46147.0,65467.0,21.4,9.4
11692,40.5938499,-73.7967576,536,45,23.4,22.5,15.3,22.6,60.9,5.7,66.6,44024.0,63908.0,25.4,12.9
11693,40.598526,-73.8178156,299,42.84,26.4,30.9,16.8,63.3,19.9,4.0,23.9,59431.0,77799.0,14.0,5.2
11694,40.5806075,-73.8353398,645,41.24,43.4,27.6,25.2,81.3,6.8,3.5,10.3,80976.0,111206.0,9.9,5.4
11697,40.5596839,-73.9150314,86,38.74,50.8,26.8,30.1,95.4,0.6,0.6,1.2,103580.0,131013.0,3.1,4.8
